date	 Micra Power (mW)	 Regen energy (mJ)	 Powerlite 1 (W)	 Powerlite 2 (W)	 Full power (W)
20191118	350.00	2.5	0.82	0.61	4.70
20191119	344.00	2.48	0.97	0.64	5.30
20191120	348.00	2.47	1.1	0.62	5.10
20191121	347.00	2.41	1.02	0.68	4.80
20191122	348.00	2.43	0.91	0.66	5.20
20191123	346.00	2.47	0.87	0.7	5.50
20191124	347.00	2.49	0.99	0.61	4.90
20191125	349.00	2.5	0.84	0.6	4.50
20191126	349.00	2.46	0.86	0.65	4.80
20191127	350.00	2.5	0.92	0.66	5.10
20191128	347.00	2.48	0.95	0.7	5.30
20191129	348.00	2.47	0.94	0.66	5.20
20191130	346.00	2.49	1.02	0.62	4.90
20191201	347.00	2.46	1.01	0.65	4.80
20191202	344.00	2.44	0.94	0.61	5.10
20191203	348.00	2.51	0.96	0.63	4.70
20191204	 350.00	 2.49	 0.85	 0.72	 5.20
20191205	 350.00	 2.48	 0.82	 0.69	 5.11
