date	 Micra Power (mW)	 Regen energy (mJ)	 Powerlite 1 (W)	 Powerlite 2 (W)	 Full power (W)
20191007	350.00	2.50	0.82	0.61	4.70
20191008	344.00	2.48	0.97	0.64	5.30
20191009	348.00	2.47	1.10	0.62	5.10
20191010	347.00	2.41	1.02	0.68	4.80
20191011	348.00	2.43	0.91	0.66	5.20
20191012	346.00	2.47	0.87	0.70	5.50
20191013	347.00	2.49	0.99	0.61	4.90
20191014	349.00	2.50	0.84	0.60	4.50
20191015	349.00	2.46	0.86	0.65	4.80
20191016	350.00	2.50	0.92	0.66	5.10
20191017	347.00	2.48	0.95	0.70	5.30
20191018	348.00	2.47	0.94	0.66	5.20
20191019	346.00	2.49	1.02	0.62	4.90
20191020	347.00	2.46	1.01	0.65	4.80
20191021	344.00	2.44	0.94	0.61	5.10
20191022	348.00	2.51	0.96	0.63	4.70
20191023	350.00	2.50	0.82	0.61	4.70
20191024	344.00	2.48	0.97	0.64	5.30
20191025	348.00	2.47	1.10	0.62	5.10
20191026	349.00	2.46	0.86	0.65	4.80
20191027	350.00	2.50	0.92	0.66	5.10
20191028	347.00	2.48	0.95	0.70	5.30
20191029	346.00	2.49	1.02	0.62	4.90
20191030	347.00	2.46	1.01	0.65	4.80
20191031	344.00	2.44	0.94	0.61	5.10
20191101	348.00	2.51	0.96	0.63	4.70
20191102	346.00	2.47	0.87	0.70	5.50
20191103	347.00	2.49	0.99	0.61	4.90
20191104	349.00	2.50	0.84	0.60	4.50
20191105	349.00	2.46	0.86	0.65	4.80
20191106	350.00	2.50	0.92	0.66	5.10
20191107	347.00	2.48	0.95	0.70	5.30
20191108	348.00	2.47	0.94	0.66	5.20
20191109	346.00	2.49	1.02	0.62	4.90
20191110	347.00	2.46	1.01	0.65	4.80
20191111	347.00	2.46	1.01	0.65	4.80
20191112	344.00	2.44	0.94	0.61	5.10
20191113	348.00	2.51	0.96	0.63	4.70
20191114	350.00	2.50	0.82	0.61	4.70
20191115	349.00	2.46	0.86	0.65	4.80
20191116	350.00	2.50	0.92	0.66	5.10
20191117	347.00	2.48	0.95	0.70	5.30
20191118	350.00	2.50	0.92	0.66	5.10
20191119	347.00	2.48	0.95	0.70	5.30
20191120	348.00	2.47	0.94	0.66	5.20
20191121	346.00	2.49	1.02	0.62	4.90
20191122	350.00	2.50	0.82	0.61	4.70
20191123	344.00	2.48	0.97	0.64	5.30
20191124	348.00	2.47	1.10	0.62	5.10
20191125	349.00	2.46	0.86	0.65	4.80
20191126	350.00	2.50	0.92	0.66	5.10
20191127	348.00	2.43	0.91	0.66	5.20
20191128	346.00	2.47	0.87	0.70	5.50
20191129	347.00	2.49	0.99	0.61	4.90
20191130	348.00	2.47	0.94	0.66	5.20
20191201	346.00	2.49	1.02	0.62	4.90
20191202	347.00	2.46	1.01	0.65	4.80
20191203	344.00	2.44	0.94	0.61	5.10
